name,feature_easting,feature_northing,pointx_class
Caergwrle Clinic,330441.4,357498.8,5280365
Boots,615235,310983,5280364
Peterlee Community Hospital,443024,540106,5280371
High Green Pharmacy,433848,397706,5280364
Harrogate Pharmacy,430524,455502,5280364
Delmergate Pharmacy,554747.6,175974.1,5280364
One Hatfield Hospital,521779.1,209524.3,5280371
Community Nurses Office,356585,420411,5280365
Howitts Pharmacy,458372,301015,5280364
Jade Pharmacy,515076,207747,5280364
Kamsons Pharmacy,533493,103817,5280364
Lloyds Pharmacy,397613.6,357182.7,5280364
Churchdown Mental Health Centre,539469,171610,5280365
Nishkam Pharmacy,405153,289255,5280364
Tesco in-store Pharmacy,489270.2,288264.8,5280364
The Bridges Learning Centre,352829,386716,5280365
CAMHS,454371,204046,5280365
Lansdales Pharmacy,485810,193419,5280364
Fleetwood Health Centre Pharmacy,333739,447675,5280364
Whitemoor Medical Centre,436663,348383,5280365
Wellbrook Medical Centre,425010,330502,5280365
Community Nurses,440073,349674,5280365
Clay Cross Medical Centre,439392.4,363601.8,5280365
Ripley Medical Centre,439889,350116,5280365
London Road Community Hospital,435827.9,335342.3,5280371
St Martins Pharmacy,332294,336819,5280364
Lemington Walk-in Centre,418505,564718,5280365
Schoen Clinic London,528462,181362,5280371
Juniper Lodge,368302,90872,5280365
Fawdon Park Pharmacy,422787,568877,5280364
Riaz Pharmacy,368412.7,428648.8,5280364
Bellevue Pharmacy,406917,285223,5280364
Community Nurses Office,426997,564918,5280365
Benfield Park Medical Group,428139.6,566140.2,5280365
Biddlestone Health Group,427140,566189,5280365
Gillingate Pharmacy,351438,492215,5280364
Community Nurses Office,618356,326826,5280365
Sydenham Childrens Centre,433352,264617,5280365
Kingsway Childrens Centre,431586.4,264569.9,5280365
Lillington Childrens Centre,433017.2,267161.5,5280365
Whitnash Childrens Centre,432534,264175,5280365
The Ridings Centre,460168.5,525129,5280365
Peterlee Pharmacy,443092,541082,5280364
Paydens Ltd,601602.6,142719.4,5280364
Rigbys Pharmacy,370779,407917,5280364
Life Pharmacy,527309,179178,5280364
Rowlands Pharmacy,340585,384471.6,5280364
Maple House,380335,410566,5280365
Superdrug Pharmacy,532056,181213,5280364
Aspire Pharmacy,341573,408261,5280364
Camberley Pharmacy,487760,160405,5280364
Community Nurses Office,569747,206213,5280365
Ellesmere Pharmacy,340041,376064,5280364
Mental Health Services,523313,178339,5280365
Early Intervention Team - Newham,541858,184272,5280365
Kirkby Community Mental Health Team,341729,398822,5280365
Rowlands Pharmacy,318895.4,375518.8,5280364
Cambridge Road Pharmacy,336326.3,418798.3,5280364
Total Medcare Pharmacy,544587.8,196210,5280364
The Hyde Pharmacy,521194,189079,5280364
Rowlands Pharmacy,411214.4,92225.9,5280364
Armley Moor Pharmacy,426875.2,433416.3,5280364
Community Nurses Office,351295,239741,5280365
Florence Nightingale Child Development Centre,547259,209809,5280365
Hammersmith Pharmacy,523510,178093,5280364
Heysham Primary Care Centre,341550.1,461007.8,5280365
Maidstone Hospital,573464.6,155749.6,5280371
Park View Medical Centre,337932,392094,5280365
Community Health Services,526711,409039,5280365
Well Pharmacy,472474,261253,5280364
Queen Street Resource Centre,527275.9,409497.8,5280365
Pilgrim Primary Care Centre,518772,414982,5280365
Lloyds Pharmacy,357234.2,179222.6,5280364
Simpill Ltd,425266.3,577878.7,5280364
St Lukes Pharmacy,449106.2,114278.7,5280364
Plymbridge House,249228.1,59106.7,5280365
Morrab Pharmacy,147102.7,30109.7,5280364
Drugsmith Pharmacy,520367,168416,5280364
Barrow Pharmacy,576615.3,263278.7,5280364
Boots,306642,383121,5280364
Grangetown Pharmacy,455280,520422.2,5280364
CAMHS,553748,174151,5280365
DHC Pain Clinic,516469,148741,5280365
Walsall CAMHS,400798.9,302591,5280365
St Bernard's Hospital Site,514536,179931.3,5280371
Community Nurses Office,349264.5,258922.7,5280365
South Locality Team - City & Hackney,534351,183204,5280365
Community Nurses Office,419025.2,436429.8,5280365
Macmillan Nurses Office,533352.7,345570.9,5280365
Murrays Healthcare,396494.9,293642,5280364
Dialhouse Pharmacy,391163,388824,5280364
Childrens & Family Services,411059,91972,5280365
Clay Lane Pharmacy,435281.6,279482.6,5280364
Attwood Green Pharmacy,406314.4,286080.6,5280364
Community Health Services,334108.8,428504.9,5280365
Mangal Pharmacy,542491,174852,5280364
Eddie Hawker Wing,401994,91374,5280371
Care Co-ordination Centre,617031,242375,5280365
Seamoor Unit,256505.7,134539.7,5280371
Rowlands Pharmacy,414282,130294,5280364
Well Pharmacy,288807,60445,5280364
Farah Chemist Ltd,420980,564351,5280364
Well Pharmacy,446903.7,112336.4,5280364
Rackheath Pharmacy,628749,312388,5280364
Courts Pharmacy,637257.3,165228.5,5280364
Wellesbourne Pharmacy,428120.4,255303.8,5280364
Newton Pharmacy,395860,396335,5280364
Monsell Pharmacy,457974,299544,5280364
Staplegrove Pharmacy,320890,125761,5280364
Lloyds Pharmacy,458404,222496,5280364
Alpha Chemist,543609.5,178859,5280364
Walmley Pharmacy,413606,293602,5280364
Kesgrave Pharmacy,621460,244896,5280364
Periville Chemist,528161,408615.2,5280364
Chemilab Pharmacy,510543,200337,5280364
Crown Pharmacy,510739,212382,5280364
Station Pharmacy New Cross,536776,177080,5280364
Margate Pharmacy,637116,170345,5280364
Woolwich Late Night Pharmacy,543724,178851,5280364
Buckley Pharmacy,518701,158121,5280364
Haddens Pharmacy,334527.5,395162.7,5280364
J Andersen Pharmacy,583125,110926,5280364
Ladywell Pharmacy,537320,174962,5280364
The Pharmacy,586446,245829,5280364
New Inn Pharmacy,330316,199496,5280364
Cooper & Kime (Cleveland) Ltd,453508,520650,5280364
Worksop Pharmacy,458440,378696,5280364
Brian H Donlon Pharmacy,356512.6,397043.2,5280364
Barrow Pharmacy,507067,421124,5280364
Ponda's Chemist,364780,366177,5280364
Atlas Pharmacy,352002.7,395622.8,5280364
Vincent Smith Pharmacy,376413,399521,5280364
Z A Akram Ltd,413528.8,415777.2,5280364
Drake Pharmacy,334826.3,395961.7,5280364
Strachans Chemist,380910.8,411749.9,5280364
Ware Cross Pharmacy,537138,210517,5280364
Larvic Pharmacy,400661.1,297435.3,5280364
Medipharmacy,523149.9,169385.1,5280364
Centrechem,425548,553244.3,5280364
Hermans Pharmacy,505808,173869,5280364
Community Paediatrics,421322.4,319894.8,5280365
Congleton Pharmacy,385603,362982,5280364
Rohpharm Pharmacy,540127.5,183303,5280364
Canna Pharmacy,316901.7,176594.2,5280364
Girlington Pharmacy,414046,434105,5280364
G Gouldings Ltd,414146.8,287852.5,5280364
Hanover Medical Centre,434451,386605,5280365
Cohens Chemist,386041.7,404089.1,5280364
Peak Pharmacy,442075,373416,5280364
Bowness Pharmacy,385229,406370,5280364
Marlow Bottom Pharmacy,485014,188286,5280364
Direct Pharmacy,498801.1,149701.4,5280364
Stevanage Pharmacy,526611,225776,5280364
S & S Chemists,520695,183889,5280364
Parmay Pharmacy,524787,178081,5280364
John Low Ltd,410199,552606,5280364
Island Pharmacy,576623,170584,5280364
Evergreen Pharmacy,408883,280956,5280364
J & L C Clark Chemists,430896,514230,5280364
Community Nurses Office,423936,570334,5280365
Lloyds Pharmacy,449185,375646,5280364
Abbeydale Pharmacy,434348,384317.5,5280364
Prince Pharmacy,527967,179787,5280364
Siddique Pharmacy,414944,432258,5280364
All Saints Pharmacy,424112,321896,5280364
Millstream Pharmacy,389882.8,299170.2,5280364
Fordingbridge Pharmacy,414797.4,114231.8,5280364
Meadway Health Centre,377212,390779,5280365
Community Nursing Office,341350,498072,5280365
Clemitsons Chemist,416390,535779,5280364
Mariner House,615797,244586,5280365
Hythe Hospital,442083.6,106730.6,5280371
St Michael's Hospital,358453,173521,5280371
Berwick Maternity Unit,399786,653328,5280365
Central Middlesex Hospital,520178,182750,5280371
University Hospital of Wales,317518,179363,5280371
Community Midwifery,585110,262732,5280365
Longton Health Centre,391009,343868,5280365
Abbey Hulton Health Centre,390362,348386,5280365
Learning Disabilities Community Nurses,391894.1,342306.3,5280365
Smallthorne Health Centre,388521,350429,5280365
Trent Vale Health Centre,386639.9,343460.5,5280365
Downing Close Clinic,417445,275718,5280365
Great Oaks Clinic,570311,188718,5280365
Aveley Clinic,556707,179871,5280365
Purfleet Care Centre,555219,178748,5280365
Community Nurses Office,514642,213333,5280365
Bethnal Green Health Centre,534381,182665,5280365
London Colney Clinic,517545,204048,5280365
Mandeville Clinic,514746,205607,5280365
Oxhey Drive Health Centre,511529,193108,5280365
Principal Health Centre,514935,207276,5280365
Durnford Street Clinic,387026.9,406275.1,5280365
Langley Clinic,385932.8,406777.3,5280365
Colman Road Health Centre,620758,308133,5280365
Fakenham Health Office,592487,329614,5280365
Marsh Farm Health Centre,506505,225417,5280365
Leagrave Health Clinic,505543,223632,5280365
West Mersea Clinic,601114,212886,5280365
City Community Mental Health Team,622654.2,307728.4,5280365
Greenstead Clinic,602143,225529,5280365
Community Learning Difficulties Service,528958,183682,5280365
Vicarage Field Health Centre,544447,184169,5280365
Comely Bank Clinic,537969,188984,5280365
Community Nurses Office,538897,185958,5280365
South Forest Centre,538995,185887,5280365
Stuart Crescent Health Centre,530980,190710,5280365
Standon & Puckeridge Health Centre,539328,222942,5280365
Torbay Hospital,289857,65876,5280371
Monkspath Clinic,414804,276994,5280365
Oak Tree Lane Health Centre,456663.2,359994.3,5280365
Devon Health Visiting Service,300596,81696,5280365
Bradford Sexual Health,416454,433071,5280365
Ashford Unit,433447.7,114791.9,5280371
Staffa Health Centre,444329,361165,5280365
Whitwell Health Centre,453010,376662,5280365
Pasley Road Health Centre,457900,299618,5280365
St Peters Health Centre,459676,304132,5280365
Syston Health Centre,462754.6,311789.5,5280365
Phoenix Children's Resource Centre,540904,168253,5280365
The Bridge,445550.3,119290.6,5280365
Edenbridge & District War Memorial Hospital,544510,145392,5280371
Atkinson Health Centre,319762,468965,5280365
Wrose Health Centre,416923,436333,5280365
Jordan House,369682,309216,5280365
Kamsons Pharmacy,509276,220908,5280364
Salus Pharmacy,386877,363968,5280364
Currie's Chemists,415395.5,426863.6,5280364
Windhill Green Medical Centre,415451,437660,5280365
Grange Community Clinic,340713,477935,5280365
Gresford District Nurses Office,335120,355008,5280365
Portland Health Centre,369112,71675.4,5280365
Horn Lane Pharmacy,520213,180883,5280364
South Reddish Clinic,389632,391737,5280365
Heaton Norris Health Centre,388936,391094,5280365
Hollins House,395962.8,388809.4,5280365
North Reddish Clinic,389571.7,394321.8,5280365
Dalton Clinic,322894,474258,5280365
Southampton Health Care for Homeless People,442537,112912,5280365
Firth Park Clinic,436806,391540,5280365
Helston Community Hospital,166573.8,26423.8,5280371
St Just Health Centre,136917,31391,5280365
Jasmine Court Independent Hospital,539799.9,201177.3,5280371
Bayswater Pharmacy,525804,181330,5280364
Trinity Medical Centre,433465.4,420505.1,5280365
Kinta House,352119,491059,5280365
Community Nurses Office,420361,567977,5280365
The Brook Health Centre,469118,248144,5280365
Duddon House,320576,470340,5280365
Bounds Green Health Centre,529783.7,191396.3,5280365
Community Nurses Office,535370.7,181209.5,5280365
Gosforth Health Centre,424484,568097,5280365
Rossington Pharmacy,460734.4,398729.7,5280364
Fox View Hub,423259,423119,5280365
Coley Clinic,470762,172439,5280365
Evans Pharmacy,479862,354023,5280364
Community Nurses,461928,191668.4,5280365
Health Visitors Office,315386,168286.8,5280365
District Nurses Office,301481,382102,5280365
Community Nurses Office,246719.6,58939.3,5280365
Bicester Community Hospital,458030,222295,5280371
Llantwit Major Clinic,297146,168669,5280365
Kineton Pharmacy,433524,251058,5280364
Morrisons Pharmacy,427805,571412,5280364
Yorkshire Smokefree,436128.5,388405.3,5280365
St Leonard's Community Hospital,410200,101978,5280371
Community Nurses,367372,334784,5280365
District Nurses Office,489231,408548,5280365
Brough Primary Care Contact Centre,494251,426851,5280365
Chislehurst Pharmacy,543075,169631,5280364
St Ann's Hospital,405173,88836,5280371
Castle Lodge Independent Hospital,511626.8,433807.3,5280371
South View - Briardene Unit,445827,522176,5280371
The London Clinic - Consulting Rooms,528412,182016,5280371
Huntington House,462316,454929,5280365
The Chappell Centre,524790.4,323405.8,5280365
Well Pharmacy,393824,408772,5280364
Watford Clinic,510489,196838,5280365
Urgent and Emergency Care Centre,443775,390997,5280371
Gannow Lane Resource Centre,382152,432632,5280365
Health Visitors Office,330956.9,358256.4,5280365
Motts Pharmacy,609980,322880,5280364
East Barnet Health Centre,526947,195797,5280365
Saffron Walden Community Hospital,555077,238597,5280371
Llanrumney Clinic,321864,180069,5280365
Rusholme Health Centre,385078,395341,5280365
Community Services,489753,408811,5280365
District Nurse Office,511879.4,401051.2,5280365
West Kirby Health Centre,321431.1,386953.5,5280365
Community Nurses,333199.9,384186.7,5280365
Crabtree Pharmacy,411423.4,252647.1,5280364
Tynemouth Road Health Centre,533924,189256,5280365
Wythenshawe Offices,383120.4,388229.5,5280365
District Nurses Office,296873.5,145995.2,5280365
Community Nurses,445299,240421,5280365
Queensborough House,502003,221635,5280365
Assessment and Rehabilitation Centre,433532.5,385066,5280365
"Bath, North & East Somerset Comm Respiratory Svc",374320,162094,5280365
Swindon Community Health Service,413509.2,188778.7,5280365
Clementhorpe Health Centre,460282,450987,5280365
Willows Centre for Health Care,379584,398794,5280365
Wickford Health Centre,574450,193501,5280365
Rainham Health Centre,552477.4,182372.6,5280365
Northgate Hospital,652622,308694,5280371
Community Development,391337.2,392385.3,5280365
Judds Chemist,520240,189308,5280364
Limelight Pharmacy,382718.5,396100.6,5280364
Saffron Pharmacy,458302,300810,5280364
Regent Pharmacy,523170.4,191538.4,5280364
Kamsons Pharmacy,534786,170027,5280364
Integrated Community Services,504479.2,440782.7,5280371
Salters Meadow Health Centre,404625,309387,5280365
Health Visitors,559330,148500,5280365
Community Nurses Office,482499.2,214894.7,5280365
District Nurses Office,469745,234183,5280365
Community Nurses,491900.1,211076.9,5280365
Thame Community Hospital,471233,205627,5280371
Living Care Pharmacy,429991,430893,5280364
West Locality Health Visiting Team,246056,57013,5280365
East Hill Pharmacy,526235,174739,5280364
Ridgway Pharmacy,523894,170661,5280364
Kamsons Pharmacy,525828,163895,5280364
Tanna Pharmacy,529992,168412.7,5280364
S G Barai Pharmacy,526723,164995,5280364
Saturn Pharmacy,529395,171189,5280364
Victoria Chemists,523511,165113,5280364
Barkers Chemist,525935,173734,5280364
Day Lewis Pharmacy,530020.2,163245.8,5280364
Haria Pharmacy,521895,169866.2,5280364
R K Pharmacy,528486,166071,5280364
R Walji Pharmacy,521630,175266,5280364
Northcote Pharmacy,527565,174584,5280364
Rowlands Pharmacy,526273.3,168085.2,5280364
Krystal Pharmacy,527478,176398,5280364
Kirkby's Chemist,525426,162083,5280364
Jennings Chemist,527445,176380,5280364
Mansons Pharmacy,525323,174646,5280364
East Chemist,522383,173810,5280364
Kamsons Pharmacy,527378.4,165217.2,5280364
Lafford Chemist,530154,164806,5280364
Kamsons Pharmacy,527596,165362,5280364
Abbey Pharmacy,526336.4,170117,5280364
Haydons Pharmacy,526120,170648,5280364
Fairoak Pharmacy,528935,170596,5280364
Eagle Pharmacy,529716,168885,5280364
Tooting Pharmacy,527718,171872,5280364
Fairlight Chemist,529417.4,169608.4,5280364
Day Lewis Pharmacy,528170,175649,5280364
Fazal Pharmacy,525212,173866,5280364
Bradbury Pharmacy,528883,171109,5280364
Aura Pharmacy,523720,172851,5280364
Chemco Pharmacy,525658.8,170515.9,5280364
Cooper & Co (Sutton) Ltd,525968,163895.3,5280364
Cospharm Pharmacy,527994,170722,5280364
Wimbledon Pharmacy,524062.6,171090.3,5280364
Barkers Chemist,527168,175971,5280364
Barkers Chemist Ltd,527634,171739,5280364
Bellevue Pharmacy,527543,173423,5280364
Anna Pharmacy,527181.4,166623.7,5280364
Stafford Pharmacy,529656,163931,5280364
Superdrug Pharmacy,522445,165849,5280364
Superdrug Pharmacy,527368,175340,5280364
Boots,522476,175417,5280364
Day Lewis Pharmacy,526032.3,167180.8,5280364
Park Lane Pharmacy,528121.6,164560.8,5280364
Pharmalite Pharmacy,529006,173309,5280364
Kamsons Pharmacy,526560.5,169167.3,5280364
Lloyds Pharmacy,524288.7,168633.2,5280364
Lloyds Pharmacy,527288.4,163597.9,5280364
Manor Pharmacy,528867,164187,5280364
St Mary's Hospital,449427,90367,5280371
Leicester Royal Infirmary,458583,303575,5280371
The Barry Hospital,310731.3,169096.5,5280371
Purley War Memorial Hospital,531431,161871,5280371
Lyme Brook Mental Health & Resource Centre,384072,349075,5280365
Fernwood Mental Health Resource Centre,244869.5,126292.2,5280365
CMHT - Isle of Dogs,537151,179598,5280365
Bramley Street Rehabilitation Unit,383132,400092,5280365
TY Siriol CMHT Caerphilly,315517,187364,5280365
Boots,518979,244512,5280364
Boots,546015.9,202199.3,5280364
Boots,501898.2,222019.3,5280364
Lloyds Pharmacy,536234,229422,5280364
Boots,542310,196391,5280364
Boots,544198,196293,5280364
Lloyds Pharmacy,547765,219956,5280364
Boots,545961,210674,5280364
Lloyds Pharmacy,532421,212641,5280364
Boots,553907.4,238521.5,5280364
Boots,585028,207023,5280364
Boots,526350,192390.2,5280364
Boots,534655,193685,5280364
Boots,531031.2,192739.5,5280364
Boots,530070,188320,5280364
Boots,569840.6,183520.1,5280364
Boots,561422,177888.5,5280364
Boots,567458,194606,5280364
Boots,558509,181465,5280364
Boots,558665,179144,5280364
Boots,580638,190678,5280364
Boots,579981,183533,5280364
Boots,574613,193536,5280364
Boots,545788,258670,5280364
Boots,546875,259071,5280364
Boots,575619,223115,5280364
Boots,599719.2,225084,5280364
Boots,582150,214578,5280364
Boots,625609,231621,5280364
Boots,523943,271739,5280364
Boots,516298,300653,5280364
Boots,391010,343453,5280364
Shepway Community Mental Health Services,622047,136634,5280365
Boots,384819,345961,5280364
Boots,400817,343298,5280364
Boots,398455,356522,5280364
Boots,388434,347708,5280364
Boots,417749,286901,5280364
Boots,415556,289353,5280364
Boots,411923,279278,5280364
Boots,349683,258993.4,5280364
Boots,371123.2,237659,5280364
Boots,350932.4,240032.9,5280364
Boots,394938.9,296726.7,5280364
Boots,393436,301696,5280364
Well Pharmacy,427975,542736,5280364
Well Pharmacy,421012,529943,5280364
Stearns Chemist,523279,225307,5280364
Coopers Chemist,525986.2,224932.1,5280364
Warwick Pharmacy,529832,191615,5280364
Pharmo Care,533781,189912,5280364
Allcures Pharmacy,568380,182421,5280364
Unicare Pharmacy,569895,183523,5280364
Allcures Pharmacy,570764.7,183660.6,5280364
Unicare Pharmacy,561691,178226,5280364
G Whitfield Ltd,439726,547053,5280364
G Whitfield Ltd,431477,550465,5280364
M Whitfield Ltd,432120,535664,5280364
Whitfield Chemist,436260,539562,5280364
Borno Chemists,581947,214301,5280364
Borno Chemists,575962.5,223235.9,5280364
Boots,525852,168794,5280364
Lloyds Pharmacy,523645.6,165169.7,5280364
Lloyds Pharmacy,526549.4,170032.7,5280364
Asda Pharmacy,530232,165857,5280364
Griffiths Pharmacy,522666,167686,5280364
Day Lewis Pharmacy,528326,176640,5280364
Boots,524107,175433,5280364
Boots,525720,168621,5280364
Boots,527836.5,169084.5,5280364
Boots,524041,175265,5280364
Boots,523221.8,169339,5280364
Boots,524847,173307,5280364
Boots,527409,175357,5280364
Boots,527587,171372,5280364
Boots,522347,165967,5280364
Mg Fazal Pharmacy,410233.4,288001,5280364
Claremont House,424405,565346,5280365
Dispharma Pharmacy,410141.4,287904.8,5280364
Jhoots Pharmacy,412352.7,288406.7,5280364
Lloyds Pharmacy,411867.8,288353.1,5280364
Jhoots Pharmacy,413477,289229,5280364
Jhoots Pharmacy,412509,289859,5280364
Chemycare Pharmacy,412975.5,287405.9,5280364
Lloyds Pharmacy,414071.9,287807.8,5280364
Lloyds Pharmacy,414997.7,287142,5280364
Dispharma Chemist,409508,285925,5280364
Rowlands Pharmacy,539392,167826,5280364
Rowlands Pharmacy,545466,164479,5280364
Stag Chemist,410332,285457,5280364
Hingleys Chemist,410778,286442,5280364
Hingley Pharmacy,410988,286493,5280364
Boots,406865.4,286800.7,5280364
Boots,407236.8,286636.3,5280364
Asda Pharmacy,410802.5,285101.8,5280364
Stevens Chemist,545620,163881,5280364
Farrants,544514,167663,5280364
Superdrug Pharmacy,537237,169395,5280364
Superdrug Pharmacy,546247,166223,5280364
Lloyds Pharmacy,543168.5,165005,5280364
Boots,540079,166161,5280364
Boots,540613,171029,5280364
Lloyds Pharmacy,546715,164044,5280364
Lloyds Pharmacy,543842,170823,5280364
Lloyds Pharmacy,546667,167787,5280364
Boots,531506,271221,5280364
Boots,542061,158626,5280364
Boots,537240,169424,5280364
Boots,540316,168973,5280364
Boots,535519.7,170189.4,5280364
Starr Pharmacy,530901,182126,5280364
Superdrug Pharmacy,525381,183737,5280364
Morrisons Pharmacy,528412,184102,5280364
Day Lewis Pharmacy,528970,184631,5280364
Superdrug Pharmacy,526587,184405,5280364
Boots,526496,184476,5280364
Boots,529201.3,183434.2,5280364
Boots,526434,185731,5280364
Cromer Hospital,622541,341366,5280371
Eastleigh Community Enterprise Centre (MIND),446124.1,119069.3,5280365
Community Nurses Office,410256,94287,5280365
Addiction Team,509376,429147,5280365
Warstock Lane Centre,408431,280179,5280365
Community Mental Health Team,431046,430984,5280365
Community Services,317072,176424,5280365
Gold Tops,330674,188345,5280365
Dean View CMHT,283623,99985,5280365
Community Health Services,570419,208122,5280365
Elizabeth Dibben Centre,479906.9,134920.9,5280365
Witham Health Centre,582327,214627,5280365
Community Mental Health Centre,624382,231237,5280365
Tamworth Road Resource Centre,531967,165721,5280365
South Croydon Community Mental Health Services,531409,161913,5280365
Boots,522409,208621,5280364
Boots,537279,208711,5280364
Boots,536129,200448,5280364
Boots,535808,214335.7,5280364
Boots,521888.8,232591.2,5280364
Boots,519176,298763,5280364
Boots,499163.5,207863.2,5280364
Acorn Dispensing Chemist,509358,224461,5280364
Ingrave Pharmacy,561263,192928,5280364
Superdrug Pharmacy,523870.6,224073,5280364
Superdrug Pharmacy,588302,185360,5280364
Superdrug Pharmacy,545736,258629,5280364
Superdrug Pharmacy,544991,258573,5280364
Superdrug Pharmacy,504811,249910,5280364
Superdrug Pharmacy,509272,221283,5280364
Boots,548632.3,249490.7,5280364
Boots,524627,211875,5280364
Boots,526126,213039,5280364
Asda Pharmacy,592938,185932,5280364
Boots,573649.9,188224.2,5280364
Boots,569316,188830,5280364
Boots,567131,195929,5280364
Rowlands Pharmacy,571509,189468,5280364
Boots,586115,218727,5280364
Boots,581093,215087,5280364
Boots,602144,225529,5280364
Boots,600533,224325,5280364
Boots,604145,223135,5280364
Boots,580734,219685,5280364
Rowlands Pharmacy,623683,219977,5280364
Boots,610450.5,231885.2,5280364
Boots,546922,256562,5280364
Boots,570196,208311,5280364
Morrisons Pharmacy,568970,209093,5280364
Boots,589920,186068,5280364
Lanchester Pharmacy,416595,547533,5280364
Superdrug Pharmacy,385983,351214,5280364
Rowlands Pharmacy,349358.9,240246.1,5280364
Kington Pharmacy,329710.7,256631.9,5280364
Superdrug Pharmacy,388306.4,347793.5,5280364
Superdrug Pharmacy,519536.2,191758.7,5280364
Morrisons Pharmacy,415476,279471,5280364
Superdrug Pharmacy,427474,551463,5280364
Boots,387504.2,297708.8,5280364
Morrisons Pharmacy,351412,240364,5280364
Boots,444277,541366,5280364
Well Pharmacy,390590,358020,5280364
Well Pharmacy,385902,351422,5280364
Well Pharmacy,391528,297282,5280364
Pennfields Pharmacy,390237.5,297131.6,5280364
High Street Pharmacy,394604.3,296187.3,5280364
Pharmacy First,392944.2,300769,5280364
Well Pharmacy,535401,198062,5280364
Boots,530230,182301,5280364
Boots,531021,181647,5280364
Boots,530503,181487,5280364
Holborn Pharmacy,530404,181822,5280364
Niemans Chemist,530636,182034,5280364
H V Thomas Pharmacy,525186,185236,5280364
John Walker Chemist,530195,182556,5280364
JP Pharmacy,528962,183724,5280364
Biotech Pharmacy,529189,184135,5280364
Sandylight Chemist Ltd,528175,185021,5280364
Newcare Pharma Ltd,523437,184903,5280364
Green Light Pharmacy,529235,182502,5280364
EICO Pharmacy,528668,185661,5280364
Fine Pharmacy,528259,185050,5280364
Ritz Pharmacy,526351,185761,5280364
